Nome,Quantidade,Componente
"U1, U4",2," Arduino Uno R3"
"R1, R2, R3, R4, R5",5,"1 kΩ Resistor"
"D1",1,"Vermelho LED"
"D2, D4, D5",3,"Amarelo LED"
"D3",1,"Verde LED"
